"","WBA.Close","XOM.Close","JNJ.Close","JPM.Close","VZ.Close","UTX.Close","INTC.Close","AXP.Close","MMM.Close","MCD.Close","CSCO.Close","PFE.Close","DWDP.Close","V.Close","CVX.Close","CAT.Close","MRK.Close","MSFT.Close","TRV.Close","NKE.Close","KO.Close","PG.Close","WMT.Close","DIS.Close","UNH.Close","GS.Close","AAPL.Close","HD.Close","BA.Close","IBM.Close"
"40",83.769997,82.019997,124.919998,88.269997,49.130001,112.059998,35.57,78.25,190.679993,128.839996,33.740002,34.330002,64.419998,89.18,108.07,92.860001,63.639999,65.470001,120.529999,56.68,42.419998,90.599998,70.739998,112.529999,163.440002,228.449997,144.119995,147.039993,177.630005,173.940002
"41",83.309998,83.699997,124.660004,89.029999,49.060001,112.449997,35.75,79.209999,191.279999,129.320007,33.740002,34.349998,64.18,89.010002,107.779999,93.220001,63.450001,65.709999,121.029999,56.040001,42.599998,90.199997,71.589996,113.18,164.990005,231.220001,143.929993,146.949997,177.979996,173.860001
"42",83.050003,82.010002,124.550003,87.839996,48.75,112.209999,36.07,79.110001,191.330002,129.610001,33.799999,34.209999,63.540001,88.870003,107.370003,92.760002,63.540001,65.860001,120.540001,55.73,42.439999,89.849998,72.080002,113.389999,164.009995,229.720001,143.660004,146.830002,176.860001,174.139999
"43",82.949997,82.07,124.690002,87.519997,49.18,111.93,36.16,78.589996,190.720001,129.610001,33.580002,34.240002,63.060001,89.360001,107.800003,92.269997,63.470001,65.550003,120.379997,55.560001,42.41,89.68,71.830002,113.199997,165.589996,228.960007,143.699997,146.619995,176.649994,174.5
"44",82.5,82.370003,124.68,87.309998,49.310001,112.989998,36.279999,78.260002,190.190002,129.289993,33.41,34.34,63.200001,88.779999,108.660004,94.129997,63.669998,65.730003,120.610001,55.040001,42.68,89.910004,72.010002,113.040001,164.970001,229.259995,144.770004,146.339996,178.699997,174.520004
"45",81.169998,82.529999,124.800003,86.190002,49.02,112.5,36.220001,77.760002,190.240005,130.410004,33,34.189999,63.52,89.029999,108.639999,94.239998,63.57,65.559998,120.910004,54.98,42.57,89.970001,71.650002,113,165.369995,227.660004,144.020004,146.639999,177.080002,172.880005
"46",81.660004,83.010002,125.050003,86.480003,48.43,112.410004,36.029999,77.919998,189.889999,130.149994,33.080002,34.110001,63.610001,89.089996,109.290001,95.82,63.240002,65.730003,120.540001,55.139999,42.669998,89.400002,71.43,113.050003,165.339996,228.639999,143.660004,147.240005,177.369995,172.449997
"47",82.330002,82.760002,124.919998,86.18,48.66,112.989998,36.029999,77.769997,189.990005,129.960007,32.959999,34.099998,63.189999,88.739998,108.860001,95.519997,63.130001,65.68,120.150002,55.110001,42.610001,89.230003,72.900002,112.580002,166.020004,227.880005,143.339996,147.130005,178.850006,172.139999
"48",82.510002,83.129997,124.339996,85.879997,48.540001,112.879997,35.799999,77.489998,189.710007,129.979996,33.009998,34.040001,63.27,88.860001,109.43,97.139999,62.549999,65.529999,121.110001,54.900002,42.689999,89.489998,73.059998,112.43,165.479996,228.889999,143.169998,148.210007,177.559998,171.199997
"49",82.68,82.839996,124.220001,85.730003,48.700001,113.139999,35.740002,77.260002,190.070007,131.199997,32.919998,33.93,62.490002,88.849998,108.970001,97.099998,62.580002,65.480003,121.190002,54.919998,42.66,89.800003,73.43,113.07,165.830002,227.740005,141.630005,148.199997,178.570007,170.580002
